501.County,501.Invoice/Item Number,501.City,Sum(501.Sale (Dollars)),,Sum(501.State Bottle Cost),Sum(501.State Bottle Retail),Sum(501.Store Number)
Marshall,S29131400002,MARSHALLTOWN,62.28,"5.19,44.24,49.43",3.46,5.19,4426
Marshall,S29199400001,MARSHALLTOWN,162.84,"27.14,17.1,44.24",18.09,27.14,2544
Monona,S03477100033,MAPLETON,58.53,"19.51,167.99,187.5",13.01,19.51,3932
Monona,S17473900008,MAPLETON,116.94,"19.49,148.5,167.99",12.99,19.49,3932
Monona,S19609100072,ONAWA,22.86,"11.43,209.01,220.44",7.62,11.43,3723
Monona,S22189000027,MAPLETON,43.02,"21.51,187.5,209.01",14.34,21.51,3932
Monona,S29134300126,ONAWA,148.5,"148.5,0,148.5",99,148.5,3723
Montgomery,S07929400010,RED OAK,30.36,"10.12,36.63,46.75",6.75,10.12,4318
Montgomery,S08372100023,RED OAK,113.88,"9.49,27.14,36.63",6.25,9.49,3816
Montgomery,S29195500002,RED OAK,325.68,"27.14,0,27.14",18.09,27.14,2518
Muscatine,S07811000015,MUSCATINE,94.5,"15.75,326.37,342.12",10.5,15.75,3162
Muscatine,S08917200020,MUSCATINE,37.48,"18.74,355.59,374.33",12.49,18.74,4184
Muscatine,S09235400071,WEST LIBERTY,10.1,"5.05,377.75,382.8",3.37,5.05,4484
Muscatine,S19545100004,MUSCATINE,69.36,"2.89,342.12,345.01",1.93,2.89,3907
Muscatine,S26835800017,MUSCATINE,17.1,"3.42,374.33,377.75",2.28,3.42,4467
Muscatine,S27099100001,WILTON,63.48,"10.58,345.01,355.59",7.05,10.58,5070
Muscatine,S29082800001,MUSCATINE,148.5,"148.5,148.5,297",99,148.5,2573
Muscatine,S29216200002,MUSCATINE,297,"148.5,0,148.5",99,148.5,2573
Muscatine,S29339300091,MUSCATINE,117.48,"29.37,297,326.37",19.58,29.37,2662
O'Brien,S03980400034,SHELDON,109.32,"36.44,90.08000000000001,126.52000000000001",24.3,36.44,2661
O'Brien,S28868900001,SHELDON,160.02,"53.34,36.74,90.08000000000001",35.55,53.34,2661
O'Brien,S29049900001,SHELDON,192,"9.6,0,9.6",6.4,9.6,2661
O'Brien,S29197700002,SHELDON,162.84,"27.14,9.6,36.74",18.09,27.14,3621
Osceola,S11831600004,SIBLEY,72.36,"6.03,27.14,33.17",3.85,6.03,4187
Osceola,S22667200025,SIBLEY,13.86,"6.93,33.17,40.1",4.62,6.93,4891
Osceola,S23569700019,SIBLEY,162.84,"27.14,0,27.14",18.09,27.14,4891
Page,S19035000050,CLARINDA,24.66,"8.22,134.85000000000002,143.07000000000002",5.48,8.22,2655
Page,S21769400014,CLARINDA,137.16,"11.43,54.28,65.71000000000001",7.62,11.43,2205
Page,S26620300010,SHENANDOAH,74.4,"6.2,65.71000000000001,71.91000000000001",4.13,6.2,2607
Page,S28867400001,CLARINDA,53.34,"53.34,81.51,134.85000000000002",35.55,53.34,2205
Page,S29049000001,CLARINDA,57.6,"9.6,71.91000000000001,81.51",6.4,9.6,2205
Page,S29195400002,CLARINDA,325.68,"27.14,27.14,54.28",18.09,27.14,2205
Page,S29196500002,SHENANDOAH,814.2,"27.14,0,27.14",18.09,27.14,2607
Palo Alto,S11376100050,EMMETSBURG,23.13,"23.13,45.760000000000005,68.89",15.42,23.13,3704
Palo Alto,S11500500065,EMMETSBURG,34.96,"34.96,10.8,45.760000000000005",23.31,34.96,3704
Palo Alto,S24196600001,GRAETTINGER,64.8,"10.8,0,10.8",7.2,10.8,4899
Plymouth,S04374500007,LE MARS,268.08,"22.34,0,22.34",14.89,22.34,4277
Plymouth,S16937000033,LE MARS,20.56,"10.28,22.34,32.62",6.52,10.28,4277
Plymouth,S25330900026,LE MARS,15,"15,32.62,47.62",10,15,4277
Polk,S03409700120,URBANDALE,50.36,"12.59,1203.3500000000001,1215.94",8.4,12.59,2534
Polk,S03556700002,ANKENY,25.62,"8.54,1566.7500000000002,1575.2900000000002",5.69,8.54,4165
Polk,S03613800042,DES MOINES,132,"22,738.24,760.24",14.67,22,2959
Polk,S03990800027,ANKENY,132,"22,760.24,782.24",14.67,22,3625
Polk,S04414100075,DES MOINES,208.44,"17.37,417.98,435.35",11.58,17.37,2532
Polk,S04429200025,WEST DES MOINES,76.44,"12.74,1072.23,1084.97",8.49,12.74,2961
Polk,S04650800118,WEST DES MOINES,44.97,"14.99,1276.4,1291.39",9.99,14.99,2619
Polk,S04785200022,WINDSOR HEIGHTS,17.24,"17.24,1585.1900000000003,1602.4300000000003",11.49,17.24,3762
Polk,S04958800091,DES MOINES,269.64,"22.47,325.28000000000003,347.75",14.98,22.47,2633
Polk,S05233700048,ALTOONA,415.68,"17.32,159.46000000000004,176.78000000000003",11.55,17.32,3644
Polk,S05259100120,DES MOINES,38.28,"3.19,1362.62,1365.81",2.13,3.19,2633
Polk,S05265700199,DES MOINES,89.43,"29.81,1042.42,1072.23",19.87,29.81,4669
Polk,S07253700021,DES MOINES,215.88,"17.99,399.99,417.98",12,17.99,2955
Polk,S07455500074,WINDSOR HEIGHTS,62.76,"5.23,1108.06,1113.29",3.48,5.23,2620
Polk,S08426400013,GRIMES,16.53,"16.53,1602.4300000000003,1618.9600000000003",11.02,16.53,4344
Polk,S09862200007,DES MOINES,58.56,"4.88,1123.67,1128.5500000000002",3.25,4.88,3440
Polk,S09936900009,CLIVE,66.6,"5.55,1102.51,1108.06",3.7,5.55,2963
Polk,S10068100058,CLIVE,32.98,"16.49,1442.13,1458.6200000000001",11,16.49,2963
Polk,S10436800050,JOHNSTON,31.05,"10.35,1506.5400000000002,1516.89",6.9,10.35,2962
Polk,S10442800016,JOHNSTON,56.82,"9.47,1138.3000000000002,1147.7700000000002",5.98,9.47,2587
Polk,S10972500009,DES MOINES,19.8,"9.9,1575.2900000000002,1585.1900000000003",6.6,9.9,4594
Polk,S11577700018,ANKENY,198,"16.5,451.90000000000003,468.40000000000003",11,16.5,3625
Polk,S12909100007,DES MOINES,96.6,"8.05,1034.3700000000001,1042.42",5.37,8.05,2528
Polk,S13356500033,WEST DES MOINES,136.44,"11.37,715.5600000000001,726.9300000000001",7.58,11.37,2521
Polk,S13536700014,ALTOONA,509.04,"14.14,145.32000000000002,159.46000000000004",9.43,14.14,2238
Polk,S13570900020,ALTOONA,45.96,"11.49,1264.91,1276.4",7.33,11.49,4819
Polk,S13670200015,ALTOONA,119.52,"19.92,802.49,822.41",13.28,19.92,3644
Polk,S13801500026,DES MOINES,49.18,"24.59,1215.94,1240.53",16.39,24.59,2626
Polk,S14858700053,ANKENY,55.68,"27.84,1147.7700000000002,1175.6100000000001",18.56,27.84,2666
Polk,S14858900035,DES MOINES,38.25,"12.75,1365.81,1378.56",8.5,12.75,4349
Polk,S15145100080,WINDSOR HEIGHTS,33.8,"8.45,1426.94,1435.39",5.3,8.45,2620
Polk,S15256700116,DES MOINES,593.64,"16.49,117.4,133.89000000000001",10.99,16.49,2633
Polk,S15334900137,DES MOINES,256.92,"21.41,347.75,369.16",14.17,21.41,2633
Polk,S15682100046,JOHNSTON,32.6,"8.15,1466.8600000000001,1475.0100000000002",5.44,8.15,2962
Polk,S16185700014,DES MOINES,198.6,"16.55,435.35,451.90000000000003",11.03,16.55,2959
Polk,S16274500009,DES MOINES,135.72,"11.31,726.9300000000001,738.24",7.54,11.31,4798
Polk,S17275800098,DES MOINES,37.5,"18.75,1378.56,1397.31",12.5,18.75,2190
Polk,S17432400005,WEST DES MOINES,58.5,"9.75,1128.5500000000002,1138.3000000000002",6.5,9.75,2521
Polk,S17709100054,DES MOINES,33.7,"6.74,1435.39,1442.13",4.5,6.74,2959
Polk,S18051900008,ANKENY,252.6,"21.05,369.16,390.21000000000004",14.04,21.05,3656
Polk,S18167900007,WEST DES MOINES,157.44,"13.12,678.6300000000001,691.7500000000001",8.75,13.12,4382
Polk,S18557900037,DES MOINES,34.5,"17.25,1409.69,1426.94",11.5,17.25,4349
Polk,S18778600043,DES MOINES,104.04,"8.67,991.8800000000001,1000.5500000000001",5.78,8.67,2528
Polk,S18980000105,DES MOINES,121.5,"20.25,782.24,802.49",13.5,20.25,2627
Polk,S19128800024,ANKENY,44.24,"22.12,1291.39,1313.51",14.75,22.12,4165
Polk,S19385800095,DES MOINES,548.64,"11.43,133.89000000000001,145.32000000000002",7.62,11.43,4829
Polk,S19526900004,ALTOONA,62.28,"10.38,1113.29,1123.67",6.92,10.38,4819
Polk,S19553400063,DES MOINES,69.36,"5.78,1096.73,1102.51",3.86,5.78,4829
Polk,S19957300038,URBANDALE,32.96,"8.24,1458.6200000000001,1466.8600000000001",5.49,8.24,4939
Polk,S20148600012,DES MOINES,161.64,"13.47,505.14000000000004,518.61",8.98,13.47,4803
Polk,S20253700012,WINDSOR HEIGHTS,234.72,"9.78,390.21000000000004,399.99",6.52,9.78,3762
Polk,S20329100034,WEST DES MOINES,55.48,"27.74,1175.6100000000001,1203.3500000000001",18.49,27.74,3698
Polk,S20666600066,DES MOINES,26.66,"26.66,1540.0900000000001,1566.7500000000002",17.77,26.66,2190
Polk,S22743400064,DES MOINES,103.98,"17.33,1000.5500000000001,1017.8800000000001",11.55,17.33,2959
Polk,S22943600005,WEST DES MOINES,98.94,"16.49,1017.8800000000001,1034.3700000000001",10.99,16.49,4373
Polk,S23524000005,DES MOINES,113.4,"9.45,822.41,831.86",6.3,9.45,4140
Polk,S24707800003,PLEASANT HILL,39.36,"39.36,1313.51,1352.87",26.24,39.36,2536
Polk,S25469900024,DES MOINES,148.56,"12.38,691.7500000000001,704.1300000000001",8.25,12.38,3400
Polk,S25534500012,WINDSOR HEIGHTS,137.16,"11.43,704.1300000000001,715.5600000000001",7.62,11.43,3420
Polk,S25961600155,WINDSOR HEIGHTS,70.56,"11.76,1084.97,1096.73",7.84,11.76,2620
Polk,S26107400154,ANKENY,27.5,"13.75,1526.3400000000001,1540.0900000000001",8.83,13.75,2666
Polk,S26668700058,WEST DES MOINES,37.14,"12.38,1397.31,1409.69",8.25,12.38,4068
Polk,S26714700062,DES MOINES,2025,"33.75,0,33.75",22.5,33.75,4829
Polk,S27581200053,JOHNSTON,31.53,"31.53,1475.0100000000002,1506.5400000000002",21.02,31.53,2587
Polk,S27921200094,ALTOONA,39,"9.75,1352.87,1362.62",6.5,9.75,2548
Polk,S28015900070,DES MOINES,48.76,"24.38,1240.53,1264.91",16.25,24.38,2190
Polk,S28032100081,WEST DES MOINES,8.93,"8.93,1618.9600000000003,1627.8900000000003",5.95,8.93,2535
Polk,S28867800001,PLEASANT HILL,106.68,"53.34,831.86,885.2",35.55,53.34,2536
Polk,S28868000001,ALTOONA,160.02,"53.34,518.61,571.95",35.55,53.34,2548
Polk,S28868200001,DES MOINES,106.68,"53.34,885.2,938.5400000000001",35.55,53.34,2561
Polk,S28868500001,DES MOINES,106.68,"53.34,938.5400000000001,991.8800000000001",35.55,53.34,2627
Polk,S28869100001,ANKENY,160.02,"53.34,571.95,625.2900000000001",35.55,53.34,2666
Polk,S28878500180,DES MOINES,28.35,"9.45,1516.89,1526.3400000000001",6.3,9.45,2626
Polk,S29050000001,ANKENY,192,"9.6,468.40000000000003,478.00000000000006",6.4,9.6,2666
Polk,S29176100012,ALTOONA,160.02,"53.34,625.2900000000001,678.6300000000001",35.55,53.34,2548
Polk,S29191200001,DES MOINES,1057.32,"29.37,60.89,90.26",19.58,29.37,2248
Polk,S29195600002,PLEASANT HILL,162.84,"27.14,478.00000000000006,505.14000000000004",18.09,27.14,2536
Polk,S29196900002,WEST DES MOINES,1302.72,"27.14,33.75,60.89",18.09,27.14,2648
Polk,S29199200001,WEST DES MOINES,651.36,"27.14,90.26,117.4",18.09,27.14,2521
Polk,S29249700269,WEST DES MOINES,297,"148.5,176.78000000000003,325.28000000000003",99,148.5,2619
Pottawattamie,S09016600003,COUNCIL BLUFFS,63,"10.5,75.9,86.4",7,10.5,3521
Pottawattamie,S09423900016,COUNCIL BLUFFS,11.88,"11.88,124.72000000000001,136.60000000000002",7.92,11.88,4625
Pottawattamie,S12192000041,COUNCIL BLUFFS,103.92,"8.66,67.24000000000001,75.9",5.77,8.66,3629
Pottawattamie,S22280000037,COUNCIL BLUFFS,30.26,"30.26,86.4,116.66000000000001",20.17,30.26,2641
Pottawattamie,S23647700049,COUNCIL BLUFFS,270,"22.5,8,30.5",15,22.5,4742
Pottawattamie,S26070700013,COUNCIL BLUFFS,384,"8,0,8",5.33,8,4312
Pottawattamie,S26070700131,COUNCIL BLUFFS,16.12,"8.06,116.66000000000001,124.72000000000001",5.37,8.06,4312
Pottawattamie,S29049700001,COUNCIL BLUFFS,192,"9.6,30.5,40.1",6.4,9.6,2641
Pottawattamie,S29197300002,COUNCIL BLUFFS,162.84,"27.14,40.1,67.24000000000001",18.09,27.14,3443
Poweshiek,S12650600029,BROOKLYN,15.75,"15.75,0,15.75",10.5,15.75,3947
Ringgold,S29050600001,MOUNT AYR,57.6,"9.6,0,9.6",6.4,9.6,3813
Sac,S20763800029,SAC CITY,55.14,"18.38,0,18.38",12.25,18.38,5010
Scott,S05590100008,DAVENPORT,215.88,"17.99,18.12,36.11",12,17.99,3540
Scott,S06140000018,DAVENPORT,143.4,"11.95,66.15,78.10000000000001",7.97,11.95,2839
Scott,S07929800099,DAVENPORT,23.06,"11.53,360.21,371.73999999999995",7.69,11.53,2614
Scott,S09424600141,DAVENPORT,49.47,"16.49,243.16,259.65",11,16.49,2625
Scott,S11403900036,DAVENPORT,43.95,"43.95,259.65,303.59999999999997",29.3,43.95,3858
Scott,S14639100027,DAVENPORT,38.7,"19.35,324.36999999999995,343.71999999999997",12.9,19.35,3715
Scott,S15771200005,DAVENPORT,152.64,"12.72,53.43,66.15",8.48,12.72,4644
Scott,S16224200131,DAVENPORT,43.28,"10.82,303.59999999999997,314.41999999999996",6.88,10.82,2625
Scott,S16342800032,DAVENPORT,207.84,"17.32,36.11,53.43",11.55,17.32,3731
Scott,S16917800018,BETTENDORF,64.2,"5.35,223.15,228.5",3.57,5.35,4164
Scott,S17627300143,DAVENPORT,78,"19.5,203.65,223.15",13,19.5,2614
Scott,S17730200112,DAVENPORT,14.68,"7.34,381.48999999999995,388.8299999999999",4.89,7.34,2637
Scott,S18283700037,BETTENDORF,98.94,"16.49,106.78,123.27",11,16.49,2603
Scott,S20088200028,DAVENPORT,135,"11.25,78.10000000000001,89.35000000000001",7.25,11.25,3731
Scott,S21601600011,BETTENDORF,434.88,"18.12,0,18.12",12.08,18.12,3952
Scott,S21802300127,BETTENDORF,32.98,"16.49,343.71999999999997,360.21",10.99,16.49,2603
Scott,S23395300024,DAVENPORT,60.72,"5.06,228.5,233.56",3.37,5.06,3858
Scott,S24499300036,LECLAIRE,10.25,"10.25,388.8299999999999,399.0799999999999",6.83,10.25,4847
Scott,S26597900067,DAVENPORT,7.34,"7.34,399.0799999999999,406.4199999999999",4.89,7.34,3917
Scott,S26650700243,DAVENPORT,79.48,"39.74,163.91,203.65",26.49,39.74,2614
Scott,S27158500009,DAVENPORT,81,"13.5,150.41,163.91",9,13.5,2614
Scott,S28222600026,LECLAIRE,19.5,"9.75,371.73999999999995,381.48999999999995",6.5,9.75,4847
Scott,S28542900030,DAVENPORT,39.8,"9.95,314.41999999999996,324.36999999999995",6.63,9.95,3882
Scott,S29049300001,DAVENPORT,57.6,"9.6,233.56,243.16",6.4,9.6,2567
Scott,S29142300101,DAVENPORT,104.58,"17.43,89.35000000000001,106.78",11.62,17.43,2637
Scott,S29198700002,LE CLAIRE,81.42,"27.14,123.27,150.41",18.09,27.14,5093
Shelby,S28868600001,HARLAN,160.02,"53.34,27.14,80.48",35.55,53.34,2650
Shelby,S29197000002,HARLAN,162.84,"27.14,0,27.14",18.09,27.14,2650
Sioux,S23819700011,SIOUX CENTER,20.76,"10.38,15.74,26.12",6.92,10.38,2660
Sioux,S25042400112,ORANGE CITY,188.88,"15.74,0,15.74",10.49,15.74,5133
Story,S04846600029,AMES,323.52,"26.96,27.14,54.1",17.97,26.96,4509
Story,S06459500039,NEVADA,21.3,"10.65,265.14000000000004,275.79",7.1,10.65,4105
Story,S08900500035,AMES,180,"15,54.1,69.1",10,15,4509
Story,S09467400066,AMES,27.74,"27.74,237.40000000000003,265.14000000000004",18.5,27.74,3973
Story,S10667000018,AMES,149.76,"12.48,69.1,81.58",8.32,12.48,2500
Story,S11121300031,AMES,90.6,"7.55,108.75,116.3",4.87,7.55,3524
Story,S12693100008,NEVADA,110.88,"9.24,81.58,90.82",5.99,9.24,4105
Story,S13555400025,NEVADA,35.24,"17.62,197.29000000000002,214.91000000000003",11.75,17.62,3943
Story,S15680400008,AMES,107.58,"17.93,90.82,108.75",11.96,17.93,4102
Story,S18341400015,NEVADA,34.48,"17.24,214.91000000000003,232.15000000000003",11.49,17.24,4105
Story,S20886300293,AMES,58.5,"29.25,116.3,145.55",19.5,29.25,2501
Story,S23166300009,AMES,31.5,"5.25,232.15000000000003,237.40000000000003",3.5,5.25,4987
Story,S25751000025,AMES,19.53,"6.51,275.79,282.3",4.34,6.51,2500
Story,S26899700012,AMES,51.74,"51.74,145.55,197.29000000000002",34.49,51.74,2500
Story,S29199000001,AMES,651.36,"27.14,0,27.14",18.09,27.14,2501
Tama,S28869500001,TOLEDO,106.68,"53.34,27.14,80.48",35.55,53.34,3942
Tama,S29050800001,TOLEDO,19.2,"9.6,80.48,90.08",6.4,9.6,3942
Tama,S29198000002,TOLEDO,162.84,"27.14,0,27.14",18.09,27.14,3942
Taylor,S26450500040,BEDFORD,5.07,"5.07,0,5.07",3.38,5.07,2657
Union,S14305600008,CRESTON,64.56,"10.76,37.61,48.37",7.17,10.76,4291
Union,S15791900012,CRESTON,267.84,"7.44,11.55,18.990000000000002",4.83,7.44,3830
Union,S18058600013,CRESTON,277.2,"11.55,0,11.55",7.7,11.55,3830
Union,S22434100001,CRESTON,223.44,"18.62,18.990000000000002,37.61",12.41,18.62,3830
Wapello,S13020800008,OTTUMWA,539.76,"22.49,0,22.49",15,22.49,3573
Wapello,S18808300004,OTTUMWA,67.14,"11.19,22.49,33.68",7.46,11.19,3726
Wapello,S21525900005,OTTUWMA,53.98,"26.99,33.68,60.67",17.74,26.99,2543
Warren,S04855600008,NORWALK,128.22,"21.37,0,21.37",14.25,21.37,4369
Warren,S11173000017,INDIANOLA,95.88,"15.98,21.37,37.35",10.48,15.98,2549
Warren,S16253600044,NORWALK,17.88,"2.98,37.35,40.33",1.99,2.98,3437
Washington,S15366600093,WASHINGTON,4.25,"4.25,92.78,97.03",2.84,4.25,3525
Washington,S23181300024,WASHINGTON,73.8,"12.3,80.48,92.78",8.2,12.3,2653
Washington,S28868800001,WASHINGTON,160.02,"53.34,27.14,80.48",35.55,53.34,2653
Washington,S29197500002,WASHINGTON,162.84,"27.14,0,27.14",18.09,27.14,3525
Webster,S06992800008,GOWRIE,68.22,"11.37,90.78,102.15",7.58,11.37,2113
Webster,S11360000053,FORT DODGE,88.8,"44.4,46.379999999999995,90.78",29.6,44.4,4764
Webster,S11826200047,FORT DODGE,115.44,"19.24,27.14,46.379999999999995",12.83,19.24,2644
Webster,S16675200017,FORT DODGE,65.05,"13.01,102.15,115.16000000000001",8.67,13.01,4311
Webster,S22293500054,FORT DODGE,33.72,"11.24,151.9,163.14000000000001",7.49,11.24,4764
Webster,S29050200001,FORT DODGE,38.4,"9.6,142.3,151.9",6.4,9.6,3514
Webster,S29197400002,FORT DODGE,162.84,"27.14,0,27.14",18.09,27.14,3514
Webster,S29198200002,FORT DODGE,54.28,"27.14,115.16000000000001,142.3",18.09,27.14,4311
Winnebago,S12668400023,LAKE MILLS,7.44,"7.44,7.41,14.850000000000001",4.96,7.44,4276
Winnebago,S25097300008,FOREST CITY,88.92,"7.41,0,7.41",4.94,7.41,4073
Winneshiek,S07422400037,DECORAH,71.88,"5.99,0,5.99",4,5.99,3819
Woodbury,S05627400146,SIOUX CITY,34.5,"11.5,279.52,291.02",7.67,11.5,2623
Woodbury,S07494200054,SIOUX CITY,9.74,"9.74,291.02,300.76",6.5,9.74,2621
Woodbury,S10884000042,SIOUX CITY,143.28,"11.94,223.84999999999997,235.78999999999996",7.96,11.94,3986
Woodbury,S12662000008,SIOUX CITY,177.12,"3.69,205.91999999999996,209.60999999999996",2.46,3.69,4676
Woodbury,S14650400015,SIOUX CITY,170.88,"14.24,209.60999999999996,223.84999999999997",9.49,14.24,4676
Woodbury,S15301200067,SIOUX CITY,1078.08,"11.23,0,11.23",7.49,11.23,2623
Woodbury,S15431000148,SIOUX CITY,299.84,"149.92,11.23,161.14999999999998",99.95,149.92,3820
Woodbury,S20346000006,SIOUX CITY,268.56,"14.92,161.14999999999998,176.06999999999996",9.7,14.92,4200
Woodbury,S21795200005,SIOUX CITY,79.2,"6.6,272.91999999999996,279.52",4.4,6.6,5045
Woodbury,S21936900010,SIOUX CITY,132.78,"22.13,235.78999999999996,257.91999999999996",14.75,22.13,3986
Woodbury,S23225300003,SIOUX CITY,243,"20.25,176.06999999999996,196.31999999999996",13.5,20.25,4879
Woodbury,S24707500013,SIOUX CITY,90,"15,257.91999999999996,272.91999999999996",10,15,2594
Woodbury,S29049500001,SIOUX CITY,192,"9.6,196.31999999999996,205.91999999999996",6.4,9.6,2594
Wright,S11568600008,EAGLE GROVE,50.82,"16.94,0,16.94",11.3,16.94,3536
