financials.Segment,financials.Month Name,financials.Product,financials.Discount Band,financials.Country,Sum(financials. Sales),Sum(financials.COGS),
Government,January,Carretera,Medium,United States of America,21009,11175,"21009,0,21009"
Government,January,Carretera,None,Canada,32370,16185,"32370,0,32370"
Government,January,Carretera,None,Germany,26420,13210,"26420,32370,58790"
Government,January,Montana,High,United States of America,299171.25,255450,"299171.25,670477.5,969648.75"
Government,January,Montana,High,Canada,670477.5,579150,"670477.5,0,670477.5"
Government,January,Montana,High,Germany,238609,199160,"238609,969648.75,1208257.75"
Government,January,Montana,Medium,France,460346.25,359970,"460346.25,0,460346.25"
Government,January,Paseo,High,United States of America,8760.465,7192.5,"8760.465,0,8760.465"
Government,January,Paseo,Low,Canada,28566.72,21255,"28566.72,0,28566.72"
Government,January,Paseo,Low,France,27338.850000000002,19725,"27338.850000000002,28566.72,55905.57000000001"
Government,January,Paseo,Medium,Germany,9123.8,6860,"9123.8,769814.5,778938.3"
Government,January,Paseo,Medium,Mexico,769814.5,628420,"769814.5,0,769814.5"
Government,January,Velo,None,Mexico,10451,7465,"10451,0,10451"
Government,May,Amarilla,High,Mexico,36702,20390,"36702,0,36702"
Government,May,Carretera,High,United States of America,29979.6,17430,"29979.6,0,29979.6"
Government,May,Carretera,Low,Canada,16121.4,8310,"16121.4,0,16121.4"
Government,May,Carretera,Medium,France,29697,15630,"29697,0,29697"
Government,May,Carretera,Medium,Germany,12066.6,6630,"12066.6,29697,41763.6"
Government,May,Montana,High,United States of America,728595,601380,"728595,0,728595"
Government,May,Montana,High,Canada,60200,52000,"60200,728595,788795"
Government,May,Montana,Medium,France,530621,433160,"530621,0,530621"
Government,May,Montana,Medium,Germany,480340,379600,"480340,530621,1010961"
Government,May,Paseo,High,Mexico,848172.5,741260,"848172.5,0,848172.5"
Government,May,Paseo,Low,France,7137.9,5150,"7137.9,0,7137.9"
Government,May,Paseo,Medium,United States of America,15474.55,11635,"15474.55,0,15474.55"
Government,May,Paseo,Medium,Canada,1655.08,1285,"1655.08,22526.35,24181.43"
Government,May,Paseo,Medium,Germany,7051.8,5475,"7051.8,15474.55,22526.35"
Government,May,Velo,Low,Mexico,2508.66,1810,"2508.66,0,2508.66"
Government,February,Amarilla,High,United States of America,83160,70200,"83160,705600,788760"
Government,February,Amarilla,High,Canada,705600,582400,"705600,0,705600"
Government,February,Amarilla,Low,Mexico,626640,484900,"626640,0,626640"
Government,February,Amarilla,Medium,Germany,448875,351000,"448875,0,448875"
Government,February,Amarilla,None,France,962500,715000,"962500,0,962500"
Government,February,Montana,High,United States of America,7904.82,6490,"7904.82,8139.6,16044.42"
Government,February,Montana,High,France,1763.8600000000001,1465,"1763.8600000000001,16044.42,17808.28"
Government,February,Montana,High,Mexico,8139.6,6840,"8139.6,0,8139.6"
Government,February,Montana,Low,Germany,13294.82,9790,"13294.82,0,13294.82"
Government,February,Montana,Medium,Canada,3142.7200000000003,2440,"3142.7200000000003,0,3142.7200000000003"
Government,February,Paseo,High,United States of America,45953.4,26410,"45953.4,47119.2,93072.6"
Government,February,Paseo,High,Germany,47119.2,27080,"47119.2,0,47119.2"
Government,February,Paseo,High,Mexico,4472,2600,"4472,93072.6,97544.6"
Government,February,Paseo,Medium,France,24757,13030,"24757,0,24757"
Government,February,Paseo,None,Canada,5840,2920,"5840,0,5840"
Government,July,Amarilla,High,France,21076.44,17107.5,"21076.44,0,21076.44"
Government,July,Amarilla,Medium,Mexico,11191.95,8415,"11191.95,0,11191.95"
Government,July,Amarilla,None,Germany,11802,8430,"11802,0,11802"
Government,July,Carretera,Low,United States of America,17525.97,12645,"17525.97,0,17525.97"
Government,July,Carretera,Medium,Canada,5217.03,4095,"5217.03,0,5217.03"
Government,July,Montana,High,Mexico,39237,22550,"39237,0,39237"
Government,July,Montana,Low,France,27234.899999999998,13755,"27234.899999999998,0,27234.899999999998"
Government,July,Montana,Medium,Germany,11868,6450,"11868,0,11868"
Government,July,Paseo,High,Canada,655551.75,547170,"655551.75,0,655551.75"
Government,July,Paseo,Low,United States of America,1159200,897000,"1159200,0,1159200"
Government,July,Velo,High,France,201285,166140,"201285,429660,630945"
Government,July,Velo,High,Mexico,429660,362700,"429660,0,429660"
Government,July,Velo,Medium,Germany,416279.5,339820,"416279.5,0,416279.5"
Government,July,VTT,High,Canada,14713.5,8655,"14713.5,0,14713.5"
Government,July,VTT,Medium,United States of America,8031.599999999999,4365,"8031.599999999999,0,8031.599999999999"
Government,June,Amarilla,High,France,7247.1,5950,"7247.1,0,7247.1"
Government,June,Amarilla,Medium,United States of America,42309.880000000005,27355,"42309.880000000005,0,42309.880000000005"
Government,June,Amarilla,Medium,Canada,20416.050000000003,12755,"20416.050000000003,67444.28,87860.33"
Government,June,Amarilla,Medium,Germany,25134.4,13660,"25134.4,42309.880000000005,67444.28"
Government,June,Amarilla,Medium,Mexico,18891.6,10380,"18891.6,87860.33,106751.93"
Government,June,Amarilla,None,France,37980,18990,"37980,0,37980"
Government,June,Carretera,High,Mexico,272888,230360,"272888,0,272888"
Government,June,Montana,Medium,United States of America,23588.8,12820,"23588.8,0,23588.8"
Government,June,Montana,Medium,Canada,13027.2,7080,"13027.2,23588.8,36616"
Government,June,Montana,None,France,37980,18990,"37980,0,37980"
Government,June,Paseo,High,Canada,801444,684320,"801444,0,801444"
Government,June,Paseo,High,Mexico,272888,230360,"272888,801444,1074332"
Government,June,Paseo,Medium,United States of America,200165,156520,"200165,492184,692349"
Government,June,Paseo,Medium,France,492184,388960,"492184,0,492184"
Government,June,Paseo,Medium,Germany,25134.4,13660,"25134.4,692349,717483.4"
Government,June,Paseo,Medium,Mexico,18891.6,10380,"18891.6,717483.4,736375"
Government,June,Paseo,None,Germany,352100,261560,"352100,0,352100"
Government,June,Velo,High,Canada,801444,684320,"801444,0,801444"
Government,June,Velo,High,France,7247.1,5950,"7247.1,801444,808691.1"
Government,June,Velo,Medium,United States of America,218886.08000000002,171055,"218886.08000000002,492184,711070.0800000001"
Government,June,Velo,Medium,Canada,7388.85,5675,"7388.85,735983.64,743372.49"
Government,June,Velo,Medium,France,492184,388960,"492184,0,492184"
Government,June,Velo,Medium,Germany,15056.72,11690,"15056.72,711070.0800000001,726126.8"
Government,June,Velo,Medium,Mexico,9856.84,7490,"9856.84,726126.8,735983.64"
Government,June,Velo,None,Germany,352100,261560,"352100,0,352100"
Government,June,VTT,Medium,Germany,15056.72,11690,"15056.72,0,15056.72"
Government,June,VTT,Medium,Mexico,9856.84,7490,"9856.84,15056.72,24913.559999999998"
Government,November,Amarilla,Low,United States of America,24225.6,12360,"24225.6,0,24225.6"
Government,November,Amarilla,Low,France,18443.6,9410,"18443.6,24225.6,42669.2"
Government,November,Amarilla,Medium,Canada,20794.8,11180,"20794.8,58798.8,79593.6"
Government,November,Amarilla,Medium,Germany,27968,15200,"27968,30830.8,58798.8"
Government,November,Amarilla,Medium,Mexico,30830.8,16940,"30830.8,0,30830.8"
Government,November,Carretera,High,Mexico,16858.38,13530,"16858.38,0,16858.38"
Government,November,Carretera,Low,France,14714.7,10725,"14714.7,0,14714.7"
Government,November,Carretera,Medium,United States of America,1730.54,1315,"1730.54,6756.4,8486.939999999999"
Government,November,Carretera,Medium,Germany,6756.4,5080,"6756.4,0,6756.4"
Government,November,Paseo,High,United States of America,951359.5,827840,"951359.5,2078072.5,3029432"
Government,November,Paseo,High,Canada,210700,182000,"210700,3029432,3240132"
Government,November,Paseo,High,France,1069474,914160,"1069474,0,1069474"
Government,November,Paseo,High,Germany,108706.5,92820,"108706.5,3240132,3348838.5"
Government,November,Paseo,High,Mexico,1008598.5,870480,"1008598.5,1069474,2078072.5"
Government,November,Paseo,Medium,Germany,691012,557960,"691012,0,691012"
Government,November,Paseo,None,Canada,603750,448500,"603750,0,603750"
Government,November,Velo,High,Canada,11263.84,9040,"11263.84,16789.5,28053.34"
Government,November,Velo,High,Germany,16789.5,13325,"16789.5,0,16789.5"
Government,November,Velo,Low,Canada,14497.56,10460,"14497.56,0,14497.56"
Government,November,Velo,Low,France,4428.27,3195,"4428.27,14497.56,18925.83"
Government,November,Velo,Medium,United States of America,3560.9700000000003,2735,"3560.9700000000003,8771.14,12332.11"
Government,November,Velo,Medium,Mexico,8771.14,6665,"8771.14,0,8771.14"
Government,November,VTT,High,Canada,52243,29350,"52243,0,52243"
Government,November,VTT,Medium,United States of America,24035,12650,"24035,92455.4,116490.4"
Government,November,VTT,Medium,France,48812.4,26820,"48812.4,0,48812.4"
Government,November,VTT,Medium,Germany,43643,22970,"43643,48812.4,92455.4"
Government,November,VTT,Medium,Mexico,21112.4,11230,"21112.4,116490.4,137602.8"
Government,March,Carretera,High,Canada,281053.5,239980,"281053.5,545055,826108.5"
Government,March,Carretera,High,France,545055,465400,"545055,0,545055"
Government,March,Carretera,High,Germany,246708,205920,"246708,826108.5,1072816.5"
Government,March,Carretera,Low,Mexico,419265,314600,"419265,0,419265"
Government,March,Carretera,Medium,United States of America,573205.5,457860,"573205.5,0,573205.5"
Government,March,Paseo,High,Canada,41761.6,24280,"41761.6,0,41761.6"
Government,March,Paseo,High,France,35172,19540,"35172,41761.6,76933.6"
Government,March,Paseo,High,Germany,19686,11580,"19686,96905.20000000001,116591.20000000001"
Government,March,Paseo,High,Mexico,19971.6,11220,"19971.6,76933.6,96905.20000000001"
Government,March,Paseo,Medium,United States of America,17708.6,9730,"17708.6,0,17708.6"
Government,March,VTT,High,United States of America,9837.17,7895,"9837.17,17476.06,27313.230000000003"
Government,March,VTT,High,France,9184.56,7455,"9184.56,27313.230000000003,36497.79"
Government,March,VTT,High,Mexico,17476.06,14515,"17476.06,0,17476.06"
Government,March,VTT,Low,Canada,9189.18,6630,"9189.18,0,9189.18"
Government,March,VTT,Low,Germany,1822.59,1315,"1822.59,9189.18,11011.77"
Midmarket,April,Paseo,High,Canada,20578.5,16140,"20578.5,0,20578.5"
Midmarket,April,Paseo,Medium,United States of America,50163.75,36750,"50163.75,53594.100000000006,103757.85"
Midmarket,April,Paseo,Medium,France,53594.100000000006,38010,"53594.100000000006,0,53594.100000000006"
Midmarket,April,Velo,High,Germany,6885,5100,"6885,0,6885"
Midmarket,April,Velo,Medium,Mexico,35872.2,26280,"35872.2,0,35872.2"
Midmarket,August,Paseo,High,Canada,32627.25,25590,"32627.25,0,32627.25"
Midmarket,August,Paseo,High,Mexico,26486.4,19840,"26486.4,32627.25,59113.65"
Midmarket,August,Paseo,Medium,United States of America,30991.8,21980,"30991.8,0,30991.8"
Midmarket,August,Paseo,Medium,France,29308.95,21010,"29308.95,30991.8,60300.75"
Midmarket,August,Paseo,Medium,Germany,24576.3,17430,"24576.3,60300.75,84877.05"
Midmarket,December,Amarilla,High,France,27972,20720,"27972,28795.95,56767.95"
Midmarket,December,Amarilla,High,Mexico,28795.95,21570,"28795.95,0,28795.95"
Midmarket,December,Amarilla,Medium,Germany,9811.8,7110,"9811.8,0,9811.8"
Midmarket,December,Amarilla,None,United States of America,9225,6150,"9225,0,9225"
Midmarket,December,Carretera,High,Canada,29670,23000,"29670,0,29670"
Midmarket,December,Montana,High,Canada,29670,23000,"29670,0,29670"
Midmarket,December,Montana,High,France,27972,20720,"27972,58465.95,86437.95"
Midmarket,December,Montana,High,Mexico,28795.95,21570,"28795.95,29670,58465.95"
Midmarket,December,Montana,Medium,Germany,9811.8,7110,"9811.8,0,9811.8"
Midmarket,December,Montana,None,United States of America,9225,6150,"9225,0,9225"
Midmarket,December,Paseo,High,Mexico,5016,3800,"5016,0,5016"
Midmarket,December,Paseo,Low,United States of America,28297.5,19250,"28297.5,32558.4,60855.9"
Midmarket,December,Paseo,Low,France,32558.4,22610,"32558.4,0,32558.4"
Midmarket,December,Paseo,Medium,Germany,30153,21160,"30153,0,30153"
Midmarket,December,Paseo,None,Canada,32280,21520,"32280,0,32280"
Midmarket,October,Amarilla,High,Canada,22484.7,17430,"22484.7,0,22484.7"
Midmarket,October,Amarilla,Low,United States of America,9662.4,6710,"9662.4,0,9662.4"
Midmarket,October,Montana,Low,Mexico,29246.4,20310,"29246.4,0,29246.4"
Midmarket,October,Paseo,High,Canada,42907.95,33080,"42907.95,0,42907.95"
Midmarket,October,Paseo,High,France,29254.5,21670,"29254.5,42907.95,72162.45"
Midmarket,October,Paseo,High,Germany,14981.25,11750,"14981.25,72162.45,87143.7"
Midmarket,October,Paseo,Low,United States of America,9662.4,6710,"9662.4,79347.75,89010.15"
Midmarket,October,Paseo,Low,Germany,28299.75,19450,"28299.75,51048,79347.75"
Midmarket,October,Paseo,Low,Mexico,51048,35450,"51048,0,51048"
Midmarket,October,Paseo,Medium,United States of America,16257.3,11530,"16257.3,16748.55,33005.85"
Midmarket,October,Paseo,Medium,France,16748.55,12270,"16748.55,0,16748.55"
Midmarket,October,VTT,High,Canada,20423.25,15650,"20423.25,29254.5,49677.75"
Midmarket,October,VTT,High,France,29254.5,21670,"29254.5,0,29254.5"
Midmarket,October,VTT,High,Germany,14981.25,11750,"14981.25,49677.75,64659"
Midmarket,October,VTT,Low,Germany,28299.75,19450,"28299.75,0,28299.75"
Midmarket,October,VTT,Low,Mexico,21801.6,15140,"21801.6,28299.75,50101.35"
Midmarket,October,VTT,Medium,United States of America,16257.3,11530,"16257.3,16748.55,33005.85"
Midmarket,October,VTT,Medium,France,16748.55,12270,"16748.55,0,16748.55"
Midmarket,September,Paseo,High,United States of America,22794.3,17670,"22794.3,31863,54657.3"
Midmarket,September,Paseo,High,Canada,31863,24700,"31863,0,31863"
Midmarket,September,Paseo,Low,Canada,3139.2,2180,"3139.2,11092.95,14232.150000000001"
Midmarket,September,Paseo,Low,Germany,11092.95,7470,"11092.95,0,11092.95"
Midmarket,September,Paseo,Medium,United States of America,40887.45,29310,"40887.45,0,40887.45"
Midmarket,September,Paseo,Medium,France,37335,26200,"37335,40887.45,78222.45"
Midmarket,September,Paseo,None,France,8235,5490,"8235,37080,45315"
Midmarket,September,Paseo,None,Mexico,37080,24720,"37080,0,37080"
Midmarket,September,Velo,High,Germany,8613,6600,"8613,8744.25,17357.25"
Midmarket,September,Velo,High,Mexico,8744.25,6550,"8744.25,0,8744.25"
Midmarket,January,Velo,High,Canada,5126.4,3840,"5126.4,61360.875,66487.275"
Midmarket,January,Velo,High,France,52167.375,39975,"52167.375,0,52167.375"
Midmarket,January,Velo,High,Germany,9193.5,6810,"9193.5,52167.375,61360.875"
Midmarket,January,Velo,Medium,United States of America,7908.75,5550,"7908.75,40769.25,48678"
Midmarket,January,Velo,Medium,Mexico,40769.25,28610,"40769.25,0,40769.25"
Midmarket,May,Velo,High,United States of America,10665,7900,"10665,36031.5,46696.5"
Midmarket,May,Velo,High,France,36031.5,28260,"36031.5,0,36031.5"
Midmarket,May,Velo,Medium,Canada,17604.9,12620,"17604.9,21573,39177.9"
Midmarket,May,Velo,Medium,Germany,21573,15300,"21573,0,21573"
Midmarket,May,Velo,Medium,Mexico,3344.25,2450,"3344.25,39177.9,42522.15"
Midmarket,February,Paseo,High,Germany,3586.2,2780,"3586.2,0,3586.2"
Midmarket,February,Paseo,Low,United States of America,22482.9,15140,"22482.9,68831.7,91314.6"
Midmarket,February,Paseo,Low,Canada,34736.1,23630,"34736.1,0,34736.1"
Midmarket,February,Paseo,Low,France,34095.6,22960,"34095.6,34736.1,68831.7"
Midmarket,February,Paseo,None,Mexico,14610,9740,"14610,0,14610"
Midmarket,July,Amarilla,High,United States of America,42713.325,31995,"42713.325,0,42713.325"
Midmarket,July,Amarilla,Medium,Canada,22256.324999999997,16305,"22256.324999999997,0,22256.324999999997"
Midmarket,July,VTT,High,France,51143.399999999994,38745,"51143.399999999994,0,51143.399999999994"
Midmarket,July,VTT,High,Germany,6273,4920,"6273,59796.899999999994,66069.9"
Midmarket,July,VTT,High,Mexico,8653.5,6410,"8653.5,51143.399999999994,59796.899999999994"
Midmarket,June,Carretera,High,United States of America,33499.35,25670,"33499.35,0,33499.35"
Midmarket,June,Carretera,Medium,Canada,40100.4,28440,"40100.4,0,40100.4"
Midmarket,June,Carretera,None,France,32670,21780,"32670,37050,69720"
Midmarket,June,Carretera,None,Germany,13320,8880,"13320,69720,83040"
Midmarket,June,Carretera,None,Mexico,37050,24700,"37050,0,37050"
Midmarket,June,Montana,None,Mexico,37050,24700,"37050,0,37050"
Midmarket,June,VTT,High,United States of America,33499.35,25670,"33499.35,0,33499.35"
Midmarket,June,VTT,Medium,Canada,40100.4,28440,"40100.4,0,40100.4"
Midmarket,June,VTT,None,France,32670,21780,"32670,0,32670"
Midmarket,June,VTT,None,Germany,13320,8880,"13320,32670,45990"
Midmarket,November,Amarilla,High,United States of America,33633.6,25480,"33633.6,0,33633.6"
Midmarket,November,Amarilla,High,Mexico,24123,18700,"24123,33633.6,57756.6"
Midmarket,November,Amarilla,Low,France,4766.85,3210,"4766.85,0,4766.85"
Midmarket,November,Amarilla,Medium,Germany,13240.5,9700,"13240.5,0,13240.5"
Midmarket,November,Carretera,High,Canada,56320.8,42490,"56320.8,0,56320.8"
Midmarket,November,Carretera,High,Germany,19517.7,15130,"19517.7,56320.8,75838.5"
Midmarket,November,Carretera,Medium,United States of America,28623,20300,"28623,39771.75,68394.75"
Midmarket,November,Carretera,Medium,France,6762,4900,"6762,68394.75,75156.75"
Midmarket,November,Carretera,Medium,Mexico,39771.75,27910,"39771.75,0,39771.75"
Midmarket,March,Montana,High,United States of America,8936.4,6770,"8936.4,0,8936.4"
Midmarket,March,Montana,Low,Canada,28324.8,19670,"28324.8,32877.9,61202.7"
Midmarket,March,Montana,Low,Mexico,32877.9,22140,"32877.9,0,32877.9"
Midmarket,March,Montana,Medium,France,34513.8,25010,"34513.8,0,34513.8"
Midmarket,March,Montana,None,Germany,13815,9210,"13815,0,13815"
Small Business,April,Montana,High,France,468072,443250,"468072,0,468072"
Small Business,April,Montana,Low,United States of America,683397,575250,"683397,0,683397"
Small Business,April,Montana,Medium,Canada,1038082.5,950625,"1038082.5,0,1038082.5"
Small Business,April,Paseo,Low,Germany,407376,353625,"407376,0,407376"
Small Business,April,Paseo,Medium,Mexico,457995,401750,"457995,0,457995"
Small Business,August,Montana,Low,Germany,535392,464750,"535392,0,535392"
Small Business,August,Montana,Medium,France,431112,390500,"431112,0,431112"
Small Business,August,Montana,None,Mexico,287400,239500,"287400,0,287400"
Small Business,August,VTT,High,United States of America,655578,635250,"655578,0,655578"
Small Business,August,VTT,Low,Canada,545334,468500,"545334,0,545334"
Small Business,December,Amarilla,High,France,230310,213250,"230310,0,230310"
Small Business,December,Amarilla,Low,Canada,563304,479000,"563304,0,563304"
Small Business,December,Amarilla,Medium,United States of America,382788,343000,"382788,0,382788"
Small Business,December,Amarilla,Medium,Germany,356250,312500,"356250,382788,739038"
Small Business,December,Amarilla,Medium,Mexico,175260,158750,"175260,739038,914298"
Small Business,December,Montana,High,France,313104,296500,"313104,0,313104"
Small Business,December,Montana,Medium,Germany,91182,83500,"91182,313500,404682"
Small Business,December,Montana,Medium,Mexico,313500,275000,"313500,0,313500"
Small Business,December,Paseo,Low,Canada,563304,479000,"563304,0,563304"
Small Business,December,Velo,High,France,230310,213250,"230310,0,230310"
Small Business,December,Velo,Medium,United States of America,382788,343000,"382788,0,382788"
Small Business,December,Velo,Medium,Germany,356250,312500,"356250,382788,739038"
Small Business,December,Velo,Medium,Mexico,175260,158750,"175260,739038,914298"
Small Business,December,VTT,Medium,United States of America,223008,202000,"223008,686952,909960"
Small Business,December,VTT,Medium,Canada,686952,609000,"686952,0,686952"
Small Business,October,Amarilla,High,Mexico,139230,136500,"139230,0,139230"
Small Business,October,Carretera,High,United States of America,260580,252500,"260580,385968,646548"
Small Business,October,Carretera,High,Canada,385968,374000,"385968,0,385968"
Small Business,October,Carretera,Low,Germany,644964,558750,"644964,0,644964"
Small Business,October,Carretera,Low,Mexico,146718,123500,"146718,644964,791682"
Small Business,October,Carretera,Medium,France,608499,545250,"608499,0,608499"
Small Business,October,Montana,High,Mexico,139230,136500,"139230,0,139230"
Small Business,October,Montana,Low,Germany,582048,505250,"582048,0,582048"
Small Business,October,Montana,Medium,France,608499,545250,"608499,0,608499"
Small Business,October,Velo,High,United States of America,619380,573500,"619380,0,619380"
Small Business,October,Velo,High,Canada,69402,67250,"69402,619380,688782"
Small Business,October,Velo,Medium,France,344322,305250,"344322,0,344322"
Small Business,October,VTT,High,United States of America,879960,826000,"879960,0,879960"
Small Business,October,VTT,High,Canada,455370,441250,"455370,879960,1335330"
Small Business,October,VTT,Low,Germany,62916,53500,"62916,146718,209634"
Small Business,October,VTT,Low,Mexico,146718,123500,"146718,0,146718"
Small Business,October,VTT,Medium,France,344322,305250,"344322,0,344322"
Small Business,September,Montana,Low,United States of America,741906,624500,"741906,0,741906"
Small Business,September,Montana,Medium,Canada,354108,320750,"354108,0,354108"
Small Business,September,Montana,Medium,France,87906,80500,"87906,354108,442014"
Small Business,September,Paseo,Medium,Germany,313317,280750,"313317,0,313317"
Small Business,September,Paseo,None,Mexico,236400,197000,"236400,0,236400"
Small Business,September,VTT,High,Mexico,116640,108000,"116640,0,116640"
Small Business,September,VTT,Low,Germany,292842,246500,"292842,0,292842"
Small Business,September,VTT,Medium,United States of America,509691,466750,"509691,588984,1098675"
Small Business,September,VTT,Medium,Canada,588984,533500,"588984,0,588984"
Small Business,September,VTT,None,France,645300,537750,"645300,0,645300"
Small Business,January,Paseo,High,United States of America,922680,873750,"922680,0,922680"
Small Business,January,Paseo,High,Canada,233091,218250,"233091,922680,1155771"
Small Business,January,Paseo,High,Germany,210627,201750,"210627,1155771,1366398"
Small Business,January,Paseo,Low,France,708439.5,608625,"708439.5,0,708439.5"
Small Business,January,Paseo,Medium,Mexico,700245,641250,"700245,0,700245"
Small Business,May,Paseo,High,Mexico,159570,147750,"159570,0,159570"
Small Business,May,Paseo,Low,United States of America,840384,729500,"840384,0,840384"
Small Business,May,Paseo,Low,France,269892,229500,"269892,1348416,1618308"
Small Business,May,Paseo,Low,Germany,508032,432000,"508032,840384,1348416"
Small Business,May,Paseo,Medium,Canada,474858,425500,"474858,0,474858"
Small Business,February,VTT,Low,United States of America,827604,711000,"827604,0,827604"
Small Business,February,VTT,Medium,France,267561,239750,"267561,1492320,1759881"
Small Business,February,VTT,Medium,Germany,725907,664750,"725907,766413,1492320"
Small Business,February,VTT,Medium,Mexico,766413,686750,"766413,0,766413"
Small Business,February,VTT,None,Canada,600300,500250,"600300,0,600300"
Small Business,July,Carretera,High,Germany,750537,702750,"750537,0,750537"
Small Business,July,Carretera,High,Mexico,206658,200250,"206658,750537,957195"
Small Business,July,Velo,High,United States of America,634680,615000,"634680,0,634680"
Small Business,July,Velo,Medium,Canada,1035625.5,948375,"1035625.5,0,1035625.5"
Small Business,July,Velo,Medium,France,462861,414750,"462861,1035625.5,1498486.5"
Small Business,June,Amarilla,Medium,Mexico,678960,615000,"678960,0,678960"
Small Business,June,Carretera,Low,Germany,200499,172250,"200499,0,200499"
Small Business,June,Carretera,Medium,United States of America,282435,247750,"282435,298662,581097"
Small Business,June,Carretera,Medium,Canada,298662,273500,"298662,0,298662"
Small Business,June,Carretera,Medium,France,124992,112000,"124992,581097,706089"
Small Business,June,Paseo,Low,Germany,200499,172250,"200499,0,200499"
Small Business,June,Paseo,Medium,United States of America,282435,247750,"282435,977622,1260057"
Small Business,June,Paseo,Medium,Canada,298662,273500,"298662,678960,977622"
Small Business,June,Paseo,Medium,France,124992,112000,"124992,1260057,1385049"
Small Business,June,Paseo,Medium,Mexico,678960,615000,"678960,0,678960"
Small Business,November,Paseo,High,Canada,364722,341500,"364722,567600,932322"
Small Business,November,Paseo,High,Germany,358776,339750,"358776,932322,1291098"
Small Business,November,Paseo,High,Mexico,567600,537500,"567600,0,567600"
Small Business,November,Paseo,Low,United States of America,862785,726250,"862785,0,862785"
Small Business,November,Paseo,Medium,Canada,391716,351000,"391716,0,391716"
Small Business,November,Paseo,Medium,France,361452,331000,"361452,391716,753168"
Small Business,November,Velo,High,United States of America,656370,643500,"656370,679905,1336275"
Small Business,November,Velo,High,Germany,654288,634000,"654288,1336275,1990563"
Small Business,November,Velo,High,Mexico,679905,651250,"679905,0,679905"
Small Business,November,Velo,Medium,France,106536,96500,"106536,0,106536"
Small Business,March,Amarilla,High,United States of America,808110,748250,"808110,0,808110"
Small Business,March,Amarilla,High,Canada,229104,222000,"229104,1439235,1668339"
Small Business,March,Amarilla,High,France,631125,618750,"631125,808110,1439235"
Small Business,March,Amarilla,Low,Germany,76146,64750,"76146,323694,399840"
Small Business,March,Amarilla,Low,Mexico,323694,275250,"323694,0,323694"
