DUMMY_IDENTIFIER,financials.Discount Band,financials.Product,financials.Segment,financials.Country,Sum(financials. Sales),Sum(financials.COGS),
,None,Amarilla,Enterprise,Germany,527437.5,506340,"527437.5,0,527437.5"
,None,Amarilla,Government,United States of America,8001,5715,"8001,1012282,1020283"
,None,Amarilla,Government,France,1000480,733990,"1000480,0,1000480"
,None,Amarilla,Government,Germany,11802,8430,"11802,1000480,1012282"
,None,Amarilla,Midmarket,United States of America,9225,6150,"9225,0,9225"
,None,Carretera,Government,Canada,32370,16185,"32370,555970,588340"
,None,Carretera,Government,Germany,555970,406590,"555970,0,555970"
,None,Carretera,Midmarket,France,32670,21780,"32670,37050,69720"
,None,Carretera,Midmarket,Germany,13320,8880,"13320,69720,83040"
,None,Carretera,Midmarket,Mexico,37050,24700,"37050,0,37050"
,None,Montana,Channel Partners,Canada,30216,7554,"30216,0,30216"
,None,Montana,Channel Partners,Germany,18540,4635,"18540,30216,48756"
,None,Montana,Enterprise,Canada,376312.5,361260,"376312.5,0,376312.5"
,None,Montana,Government,France,37980,18990,"37980,0,37980"
,None,Montana,Government,Germany,15022,10730,"15022,37980,53002"
,None,Montana,Midmarket,United States of America,9225,6150,"9225,50865,60090"
,None,Montana,Midmarket,Germany,13815,9210,"13815,37050,50865"
,None,Montana,Midmarket,Mexico,37050,24700,"37050,0,37050"
,None,Montana,Small Business,Mexico,287400,239500,"287400,0,287400"
,None,Paseo,Channel Partners,United States of America,10944,2736,"10944,30216,41160"
,None,Paseo,Channel Partners,Canada,30216,7554,"30216,0,30216"
,None,Paseo,Channel Partners,Germany,4404,1101,"4404,41160,45564"
,None,Paseo,Government,United States of America,8001,5715,"8001,1527580,1535581"
,None,Paseo,Government,Canada,645930,469590,"645930,881650,1527580"
,None,Paseo,Government,Germany,881650,654940,"881650,0,881650"
,None,Paseo,Government,Mexico,6181,4415,"6181,1535581,1541762"
,None,Paseo,Midmarket,Canada,32280,21520,"32280,51690,83970"
,None,Paseo,Midmarket,France,8235,5490,"8235,83970,92205"
,None,Paseo,Midmarket,Mexico,51690,34460,"51690,0,51690"
,None,Paseo,Small Business,Mexico,236400,197000,"236400,0,236400"
,None,Velo,Channel Partners,Germany,44472,11118,"44472,0,44472"
,None,Velo,Enterprise,United States of America,352625,338520,"352625,0,352625"
,None,Velo,Enterprise,Canada,43125,41400,"43125,578125,621250"
,None,Velo,Enterprise,France,225500,216480,"225500,352625,578125"
,None,Velo,Government,Germany,352100,261560,"352100,0,352100"
,None,Velo,Government,Mexico,10451,7465,"10451,352100,362551"
,None,VTT,Channel Partners,Germany,34056,8514,"34056,0,34056"
,None,VTT,Government,Canada,36340,18170,"36340,534450,570790"
,None,VTT,Government,France,534450,397020,"534450,0,534450"
,None,VTT,Midmarket,France,32670,21780,"32670,0,32670"
,None,VTT,Midmarket,Germany,13320,8880,"13320,32670,45990"
,None,VTT,Small Business,Canada,600300,500250,"600300,645300,1245600"
,None,VTT,Small Business,France,645300,537750,"645300,0,645300"
