4000.Invoice/Item Number,Sum(4000.Sale (Dollars)),,Sum(4000.State Bottle Cost),Sum(4000.State Bottle Retail),CountNonNull(4000.Category Name),CountNonNull(4000.County)
S26528800246,195,NaN,130,195,1,1
S12899600020,194.88,NaN,5.41,8.12,1,1
S11615400004,194.22,NaN,7.2,10.79,1,1
S12522500030,194.22,NaN,7.2,10.79,1,1
S13175800022,193.68,NaN,1.8,2.69,1,1
S16425600004,193.68,NaN,7.17,10.76,1,1
S09418600103,193.44,NaN,21.49,32.24,1,1
S04216300036,192.6,NaN,7.13,10.7,1,1
S05528900032,192.6,NaN,7.13,10.7,1,1
S07593800004,192.6,NaN,7.13,10.7,1,1
S10939000009,192.6,NaN,7.13,10.7,1,1
S13091100012,192.6,NaN,7.13,10.7,1,1
S21192800020,192,NaN,5.33,8,1,1
S27416100035,192,NaN,5.33,8,1,1
S27991100033,192,NaN,5.33,8,1,1
S29049200001,192,NaN,6.4,9.6,,1
S29049400001,192,NaN,6.4,9.6,,1
S29049500001,192,NaN,6.4,9.6,,1
S29049600001,192,NaN,6.4,9.6,,1
S29049700001,192,NaN,6.4,9.6,,1
S29049800001,192,NaN,6.4,9.6,,1
S29049900001,192,NaN,6.4,9.6,,1
S29050000001,192,NaN,6.4,9.6,,1
S29050100001,192,NaN,6.4,9.6,,1
S29051000001,192,NaN,6.4,9.6,,1
S13308100002,191.88,NaN,10.66,15.99,1,1
S08654700020,191.76,NaN,5.33,7.99,1,1
S08576400014,191.4,NaN,10.63,15.95,1,1
S18740000061,189,NaN,10.5,15.75,1,1
S19244600086,189,NaN,21,31.5,1,1
S22346800011,189,NaN,10.5,15.75,1,1
S26795000059,188.94,NaN,20.99,31.49,1,1
S04335300047,188.88,NaN,10.49,15.74,1,1
S06969600136,188.88,NaN,10.5,15.74,1,1
S11540400005,188.88,NaN,5.24,7.87,1,1
S12180200001,188.88,NaN,10.25,15.74,1,1
S12390200024,188.88,NaN,10.25,15.74,1,1
S12938900004,188.88,NaN,10.5,15.74,1,1
S19119700009,188.88,NaN,10.5,15.74,1,1
S20355100023,188.88,NaN,10.49,15.74,1,1
S24979700004,188.88,NaN,10.49,15.74,1,1
S25042400112,188.88,NaN,10.49,15.74,1,1
S25347400063,188.88,NaN,10.49,15.74,1,1
S25751400013,188.88,NaN,10.49,15.74,1,1
S26351100012,188.88,NaN,10.49,15.74,1,1
S27944500031,188.88,NaN,10.49,15.74,1,1
S28612300046,188.88,NaN,10.49,15.74,1,1
S25773900004,188.4,NaN,5.23,7.85,1,1
S09309000013,188.16,NaN,5.23,7.84,1,1
S19789000001,188.16,NaN,5.23,7.84,1,1
S07892100023,188.04,NaN,10.45,15.67,1,1
S09188000042,188.04,NaN,10.45,15.67,1,1
S10358300009,188.04,NaN,10.45,15.67,1,1
S11810700022,188.04,NaN,10.45,15.67,1,1
S12630900005,188.04,NaN,10.45,15.67,1,1
S13044900039,188.04,NaN,10.45,15.67,1,1
S17662900007,188.04,NaN,10.45,15.67,1,1
S18296300002,188.04,NaN,10.45,15.67,1,1
S19584700001,188.04,NaN,10.45,15.67,1,1
S26075200006,187.8,NaN,10.43,15.65,1,1
S04681300045,187.08,NaN,124.72,187.08,1,1
S27366600040,186,NaN,31,46.5,1,1
S08473700006,185.76,NaN,10.24,15.48,1,1
S18001900057,185.7,NaN,20.63,30.95,1,1
S05894100001,185.4,NaN,6.87,10.3,1,1
S16484100025,184.26,NaN,20.47,30.71,1,1
S07989500009,184.2,NaN,10.24,15.35,1,1
S06705400006,183.96,NaN,10.22,15.33,1,1
S09897200020,183.96,NaN,10.22,15.33,1,1
S21618100077,182.28,NaN,20.25,30.38,1,1
S24781400097,182.28,NaN,20.25,30.38,1,1
S17794900004,182.16,NaN,3.37,5.06,1,1
S16246500055,181.56,NaN,20.17,30.26,1,1
S20394800003,180.96,NaN,2.51,3.77,1,1
S04716200020,180.84,NaN,10.05,15.07,1,1
S25986500002,180.36,NaN,3.34,5.01,1,1
S22420200008,180.24,NaN,10.01,15.02,1,1
S10622000024,180.12,NaN,10.01,15.01,1,1
S06963100024,180,NaN,10,15,1,1
S07715500050,180,NaN,10,15,1,1
S08900500035,180,NaN,10,15,1,1
S10097800009,180,NaN,5,7.5,1,1
S13955300010,180,NaN,10,15,1,1
S16331300019,180,NaN,5,7.5,1,1
S17189700058,180,NaN,10,15,1,1
S18976800011,180,NaN,10,15,1,1
S19638000002,180,NaN,5,7.5,1,1
S19867900048,180,NaN,10,15,1,1
S19921200020,180,NaN,5,7.5,1,1
S20240000025,180,NaN,5,7.5,1,1
S23883300001,180,NaN,5,7.5,1,1
S26342800086,180,NaN,10,15,1,1
S28237100066,180,NaN,10,15,1,1
S29053900020,180,NaN,5,7.5,1,1
S09160200004,179.94,NaN,20,29.99,1,1
S18079400004,179.94,NaN,20,29.99,1,1
S18097700002,179.94,NaN,20,29.99,1,1
S23786000008,179.94,NaN,19.99,29.99,1,1
S25395000019,179.94,NaN,19.99,29.99,1,1
S27432100007,179.94,NaN,19.99,29.99,1,1
S13721200064,179.88,NaN,10,14.99,1,1
S26895900005,179.88,NaN,9.99,14.99,1,1
S27469900031,179.88,NaN,9.99,14.99,1,1
S09576400029,179.52,NaN,19.94,29.92,1,1
S13957000001,179.52,NaN,9.97,14.96,1,1
S15265900006,179.52,NaN,9.97,14.96,1,1
S05010600018,179.4,NaN,9.63,14.95,1,1
S20967300001,179.4,NaN,9.7,14.95,1,1
S25403000018,179.28,NaN,4.98,7.47,1,1
S23748000018,178.32,NaN,29.72,44.58,1,1
S27488300004,178.32,NaN,29.72,44.58,1,1
S06263500008,178.2,NaN,9.74,14.85,1,1
S14678500031,177.84,NaN,9.88,14.82,1,1
S20089700004,177.36,NaN,9.85,14.78,1,1
S21891700006,177.36,NaN,9.85,14.78,1,1
S12662000008,177.12,NaN,2.46,3.69,1,1
S28951200015,177.12,NaN,4.92,7.38,1,1
S06494800006,177,NaN,9.5,14.75,1,1
S19624100015,177,NaN,9.5,14.75,1,1
S21674900017,176.16,NaN,9.45,14.68,1,1
S28271800008,176.16,NaN,9.45,14.68,1,1
S23302200014,175.56,NaN,9.75,14.63,1,1
S14824900054,174,NaN,19.33,29,1,1
S15367900008,173.94,NaN,19,28.99,1,1
S20254500001,173.76,NaN,9.65,14.48,1,
S21464900023,173.76,NaN,9.65,14.48,1,1
S23249900095,173.76,NaN,9.65,14.48,1,1
S23807400056,173.76,NaN,9.65,14.48,1,1
S25948000051,173.76,NaN,9.65,14.48,1,1
S26481800019,173.76,NaN,9.65,14.48,1,1
S28652400012,173.76,NaN,9.65,14.48,1,1
S28774900013,173.76,NaN,9.65,14.48,1,1
S07279000014,173.64,NaN,9.65,14.47,1,1
S13041200054,173.52,NaN,9.64,14.46,1,1
S13205900019,173.52,NaN,9.64,14.46,1,1
S22281100055,172.56,NaN,19.17,28.76,1,1
S26301800008,172.56,NaN,19.17,28.76,1,1
S18183700024,172.44,NaN,19.16,28.74,1,1
S19467600001,172.44,NaN,19.16,28.74,1,1
S24822300044,172.44,NaN,19.16,28.74,1,1
S27081200011,172.08,NaN,4.78,7.17,1,1
S17368000024,171.36,NaN,4.76,7.14,1,1
S23353800004,171.24,NaN,9.51,14.27,1,1
S13904700004,171.12,NaN,4.75,7.13,1,1
S17321700004,171.12,NaN,4.75,7.13,1,1
S20403200010,171.12,NaN,4.75,7.13,1,1
S27230800061,171.12,NaN,4.75,7.13,1,1
S16993300039,171,NaN,9.5,14.25,1,1
S21271500017,171,NaN,9.5,14.25,1,1
S26223500021,171,NaN,9.5,14.25,1,1
S27337000050,171,NaN,9.5,14.25,1,1
S12784100002,170.88,NaN,9.49,14.24,1,1
S14650400015,170.88,NaN,9.49,14.24,1,1
S04663400019,170.4,NaN,9.46,14.2,1,1
S05217900007,170.4,NaN,9.46,14.2,1,1
S28976000016,170.16,NaN,9.45,14.18,1,1
S04043000006,169.92,NaN,9.44,14.16,1,1
S04875100053,169.92,NaN,9.44,14.16,1,1
S05963700014,169.92,NaN,9.44,14.16,1,1
S05131800032,169.68,NaN,9.43,14.14,1,1
S11545800016,169.68,NaN,9.43,14.14,1,1
S16572900048,169.5,NaN,18.5,28.25,1,1
S15471600013,168.84,NaN,18.42,28.14,1,1
S12037100095,168.78,NaN,18.75,28.13,1,1
S20128100027,168.78,NaN,18.75,28.13,1,1
S14824900183,168.72,NaN,18.75,28.12,1,1
S04944000001,168.48,NaN,9.36,14.04,1,1
S08194100007,168.48,NaN,9.36,14.04,1,1
S18665300036,168.12,NaN,9.34,14.01,1,1
S18911600025,166.68,NaN,18.52,27.78,1,1
S22381000069,166.68,NaN,18.52,27.78,1,1
S26656700011,166.68,NaN,18.52,27.78,1,1
S25706300006,166.56,NaN,9.25,13.88,1,1
S27231900027,166.56,NaN,9.25,13.88,1,1
S06960700011,166.44,NaN,18.5,27.74,1,1
S12075200050,166.44,NaN,9.25,13.87,1,1
S13711400007,166.44,NaN,9.25,13.87,1,1
S18956900038,166.44,NaN,9.25,13.87,1,1
S27165100014,166.44,NaN,18.49,27.74,1,1
S07957600006,165.3,NaN,18.37,27.55,1,1
S20478500005,164.52,NaN,9.14,13.71,1,1
S17529400082,163.68,NaN,8.93,13.64,1,1
S12778800012,163.44,NaN,9.08,13.62,1,1
S09547700052,163.26,NaN,18.14,27.21,1,1
S13205400018,163.2,NaN,4.54,6.8,1,1
S11514300010,163.08,NaN,9.06,13.59,1,1
S16878200013,162.84,NaN,18.09,27.14,1,1
S18545600005,162.84,NaN,18.09,27.14,1,1
S20242600006,162.84,NaN,18.09,27.14,1,1
S22703400008,162.84,NaN,18.09,27.14,1,1
S23569700019,162.84,NaN,18.09,27.14,1,1
S27846500011,162.84,NaN,18.09,27.14,1,1
S29195600002,162.84,NaN,18.09,27.14,,1
S29196300002,162.84,NaN,18.09,27.14,,1
S29197000002,162.84,NaN,18.09,27.14,,1
S29197300002,162.84,NaN,18.09,27.14,,1
S29197400002,162.84,NaN,18.09,27.14,,1
S29197500002,162.84,NaN,18.09,27.14,,1
S29197700002,162.84,NaN,18.09,27.14,,1
S29198000002,162.84,NaN,18.09,27.14,,1
S29198100002,162.84,NaN,18.09,27.14,,1
S29198800001,162.84,NaN,18.09,27.14,,1
S29199100001,162.84,NaN,18.09,27.14,,1
S29199400001,162.84,NaN,18.09,27.14,,1
S29199500001,162.84,NaN,18.09,27.14,,1
S03488600002,162.78,NaN,18.08,27.13,1,1
S03558800021,162.78,NaN,18.08,27.13,1,1
S03884300001,162.78,NaN,18.08,27.13,1,1
S05008500005,162.78,NaN,18.08,27.13,1,1
S06054900001,162.78,NaN,18.08,27.13,1,1
S06996200003,162.78,NaN,18.08,27.13,1,1
S07600600007,162.78,NaN,18.08,27.13,1,1
S07643900127,162.78,NaN,18.08,27.13,1,1
S07659000006,162.78,NaN,18.08,27.13,1,1
S08480300002,162.78,NaN,18.08,27.13,1,1
S11931000010,162.78,NaN,18.08,27.13,1,1
S15447800019,162,NaN,9,13.5,1,1
S16495300008,162,NaN,9,13.5,1,1
S18101900001,162,NaN,9,13.5,1,1
S20778600008,162,NaN,9,13.5,1,1
S21069400002,162,NaN,9,13.5,1,1
S21596300014,162,NaN,9,13.5,1,1
S22257600019,162,NaN,18,27,1,1
S22543500001,162,NaN,9,13.5,1,1
S22615600010,162,NaN,9,13.5,1,1
S23195600005,162,NaN,18,27,1,1
S23253600021,162,NaN,9,13.5,1,1
S23302300035,162,NaN,9,13.5,1,1
S23503500019,162,NaN,9,13.5,1,1
S24545700033,162,NaN,18,27,1,1
S24724200014,162,NaN,9,13.5,1,1
S26050300030,162,NaN,18,27,1,1
S26414600004,162,NaN,9,13.5,1,1
S26723600103,162,NaN,9,13.5,1,1
S27471200005,162,NaN,9,13.5,1,1
S28296600031,162,NaN,9,13.5,1,1
S28331200014,162,NaN,9,13.5,1,1
S28407000012,162,NaN,9,13.5,1,1
S28525300049,162,NaN,9,13.5,1,1
S28715000049,162,NaN,18,27,1,1
S28765100002,162,NaN,9,13.5,1,1
S03528500005,161.88,NaN,8.99,13.49,1,1
S18735000036,161.88,NaN,8.99,13.49,1,1
S25661100018,161.88,NaN,8.99,13.49,1,1
S15740100012,161.64,NaN,8.98,13.47,1,1
S17156800008,161.64,NaN,8.98,13.47,1,1
S17453900009,161.64,NaN,8.98,13.47,1,1
S18741700008,161.64,NaN,8.98,13.47,1,1
S19700200018,161.64,NaN,8.98,13.47,1,1
S20148600012,161.64,NaN,8.98,13.47,1,1
S21025300004,161.64,NaN,8.98,13.47,1,1
S21911800005,161.64,NaN,8.98,13.47,1,1
S22644900006,161.64,NaN,8.98,13.47,1,1
S22717900036,161.64,NaN,8.98,13.47,1,1
S24598500007,161.64,NaN,8.98,13.47,1,1
S27239200082,161.64,NaN,8.98,13.47,1,1
S28666800019,161.64,NaN,8.98,13.47,1,1
S10961500028,161.4,NaN,8.96,13.45,1,1
S11449100031,161.16,NaN,8.95,13.43,1,1
S11881900065,161.16,NaN,8.95,13.43,1,1
S15756600004,160.56,NaN,8.92,13.38,1,1
S29159300058,160.2,NaN,17.8,26.7,1,1
S28867700001,160.02,NaN,35.55,53.34,,1
S28867900001,160.02,NaN,35.55,53.34,,1
S28868000001,160.02,NaN,35.55,53.34,,1
S28868100001,160.02,NaN,35.55,53.34,,1
S28868400001,160.02,NaN,35.55,53.34,,1
S28868600001,160.02,NaN,35.55,53.34,,1
S28868800001,160.02,NaN,35.55,53.34,,1
S28868900001,160.02,NaN,35.55,53.34,,1
S28869100001,160.02,NaN,35.55,53.34,,1
S28869400001,160.02,NaN,35.55,53.34,,1
S28869600001,160.02,NaN,35.55,53.34,,1
S28869800001,160.02,NaN,35.55,53.34,,1
S28869900001,160.02,NaN,35.55,53.34,,1
S29176100012,160.02,NaN,35.55,53.34,,1
S18951300007,159.96,NaN,17.77,26.66,1,1
S13698100007,159.72,NaN,17.75,26.62,1,1
S16168900009,159.72,NaN,17.75,26.62,1,1
S16608900001,159.72,NaN,17.75,26.62,1,1
S17878300001,159.72,NaN,17.75,26.62,1,1
S20022200038,159.72,NaN,17.75,26.62,1,1
S04404400009,159.3,NaN,17.37,26.55,1,1
S08360600051,159.3,NaN,17.37,26.55,1,1
S03536100031,158.4,NaN,26.4,39.6,1,1
S04903700012,158.4,NaN,17.6,26.4,1,1
S11742400012,158.4,NaN,17.6,26.4,1,1
S19771100034,158.4,NaN,17.6,26.4,1,1
S25923700012,158.4,NaN,17.6,26.4,1,1
S26622800062,158.4,NaN,17.6,26.4,1,1
S22528700015,157.56,NaN,8.75,13.13,1,1
S12789800063,157.5,NaN,17.5,26.25,1,1
S08091200002,157.44,NaN,17.5,26.24,1,1
S08737300001,157.44,NaN,17.5,26.24,1,1
S18167900007,157.44,NaN,8.75,13.12,1,1
S18911500002,157.44,NaN,8.75,13.12,1,1
S19113900005,157.44,NaN,8.75,13.12,1,1
S04220800143,156.38,NaN,14.89,22.34,1,1
S16765700056,156.12,NaN,8.67,13.01,1,1
S20535200118,156.12,NaN,8.67,13.01,1,1
S20801500015,156.12,NaN,8.67,13.01,1,1
S22501900005,156.12,NaN,8.67,13.01,1,1
S25028600099,156.12,NaN,8.67,13.01,1,1
S27173200095,156.12,NaN,8.67,13.01,1,1
S09257000010,155.88,NaN,8.66,12.99,1,1
S11164300120,155.88,NaN,8.66,12.99,1,1
S17806500012,155.4,NaN,8.63,12.95,1,1
S13911600006,154.8,NaN,4.3,6.45,1,1
S16903900031,154.38,NaN,17.15,25.73,1,1
S28109100033,154.38,NaN,17.15,25.73,1,1
S16617800015,153.72,NaN,16.75,25.62,1,1
S23356300139,153,NaN,8.5,12.75,1,1
S03780500018,152.88,NaN,8.5,12.74,1,1
S04676000010,152.88,NaN,16.9,25.48,1,1
S06914500003,152.88,NaN,8.5,12.74,1,1
S07732300019,152.88,NaN,8.5,12.74,1,1
S07934900009,152.88,NaN,8.5,12.74,1,1
S08894500006,152.88,NaN,8.5,12.74,1,1
S10787500046,152.88,NaN,8.5,12.74,1,1
S15771200005,152.64,NaN,8.48,12.72,1,1
S10347600065,152.4,NaN,16.93,25.4,1,1
S08506200002,151.8,NaN,8.43,12.65,1,1
S06024900013,151.44,NaN,8.41,12.62,1,1
S12788800002,151.44,NaN,8.25,12.62,1,1
S22819000013,151.14,NaN,16.79,25.19,1,1
S21590000010,151.08,NaN,8.12,12.59,1,1
S22876900001,150.36,NaN,8.35,12.53,1,1
S23912400005,150.12,NaN,7.94,12.51,1,1
S26049200009,150.12,NaN,7.94,12.51,1,1
S13776400040,150,NaN,4.17,6.25,1,1
S23408700001,149.94,NaN,16.66,24.99,1,1
S08123400030,149.88,NaN,8.25,12.49,1,1
S09467300015,149.88,NaN,8.25,12.49,1,1
S13832800013,149.88,NaN,8.33,12.49,1,1
S17969200019,149.88,NaN,8.33,12.49,1,1
S10667000018,149.76,NaN,8.32,12.48,1,1
S25986700060,148.68,NaN,8.26,12.39,1,1
S26343300010,148.68,NaN,8.26,12.39,1,1
S28081800011,148.68,NaN,8.26,12.39,1,1
S28318400124,148.68,NaN,8.26,12.39,1,1
S28660400121,148.68,NaN,8.26,12.39,1,1
S09737500019,148.56,NaN,8.25,12.38,1,1
S16238600059,148.56,NaN,8.25,12.38,1,1
S17999300070,148.56,NaN,8.25,12.38,1,1
S18716000006,148.56,NaN,8.25,12.38,1,1
S19012800040,148.56,NaN,8.25,12.38,1,1
S19739600050,148.56,NaN,8.25,12.38,1,1
S19929400039,148.56,NaN,8.25,12.38,1,1
S21231400112,148.56,NaN,8.25,12.38,1,1
S21732500025,148.56,NaN,8.25,12.38,1,1
S21897900008,148.56,NaN,8.25,12.38,1,1
S22887100201,148.56,NaN,8.25,12.38,1,1
S23438000017,148.56,NaN,8.25,12.38,1,1
S24216000009,148.56,NaN,8.25,12.38,1,1
S24245500016,148.56,NaN,8.25,12.38,1,1
S25105200054,148.56,NaN,8.25,12.38,1,1
S25469900024,148.56,NaN,8.25,12.38,1,1
S26598600010,148.56,NaN,8.25,12.38,1,1
S26683900007,148.56,NaN,8.25,12.38,1,1
S27034400008,148.56,NaN,8.25,12.38,1,1
S27839800245,148.56,NaN,8.25,12.38,1,1
S28842700012,148.56,NaN,8.25,12.38,1,1
S28852200254,148.56,NaN,8.25,12.38,1,1
S29065400007,148.56,NaN,8.25,12.38,1,1
S29082800001,148.5,NaN,99,148.5,1,1
S29134300126,148.5,NaN,99,148.5,1,1
S29161800004,148.5,NaN,99,148.5,1,1
S12494100002,148.44,NaN,8.25,12.37,1,1
S12999200006,148.44,NaN,8.25,12.37,1,1
S13536700004,148.44,NaN,8.25,12.37,1,1
S13554300118,148.44,NaN,8.25,12.37,1,1
S14812200075,148.44,NaN,8.25,12.37,1,1
S15887200050,148.44,NaN,8.25,12.37,1,1
S18947700007,148.44,NaN,8.25,12.37,1,1
S19401900012,148.44,NaN,8.25,12.37,1,1
S19668000039,148.44,NaN,8.25,12.37,1,1
S20334000007,148.44,NaN,8.25,12.37,1,1
S22284900002,148.44,NaN,16.49,24.74,1,1
S23331600007,148.44,NaN,16.49,24.74,1,1
S27148300012,148.44,NaN,16.49,24.74,1,1
S08382700030,147.6,NaN,3.88,6.15,1,1
S22118700031,147.6,NaN,8.2,12.3,1,1
S23221000236,147.6,NaN,8.2,12.3,1,1
S24421100071,147.6,NaN,8.2,12.3,1,1
S25767800065,147.6,NaN,8.2,12.3,1,1
S16669700023,147.24,NaN,8.18,12.27,1,1
S18397600020,147.24,NaN,8.18,12.27,1,1
S24100900013,147.06,NaN,16.34,24.51,1,1
S13965900016,147,NaN,16.33,24.5,1,
S12613400003,146.4,NaN,3.67,6.1,1,1
S09896100004,145.44,NaN,4.04,6.06,1,1
S06096900108,144.24,NaN,4.01,6.01,1,1
S06710800043,144.24,NaN,4,6.01,1,1
S20993500043,144,NaN,8,12,1,1
S21814800097,144,NaN,7.75,12,1,1
S22788700096,144,NaN,8,12,1,1
S23875800021,144,NaN,16,24,1,1
S24215500068,144,NaN,16,24,1,1
S28789500029,144,NaN,16,24,1,1
S19541600015,143.94,NaN,15.99,23.99,1,1
S14565800009,143.88,NaN,8,11.99,1,1
S19624400020,143.76,NaN,3.99,5.99,1,1
S12303800002,143.52,NaN,2,2.99,1,1
S13814700001,143.52,NaN,2,2.99,1,1
S04126600004,143.4,NaN,7.97,11.95,1,1
S06119200087,143.4,NaN,7.97,11.95,1,1
S06140000018,143.4,NaN,7.97,11.95,1,1
S13215800004,143.4,NaN,7.97,11.95,1,1
S14942800018,143.4,NaN,7.97,11.95,1,1
S07527800127,143.28,NaN,7.96,11.94,1,1
S08373700003,143.28,NaN,7.96,11.94,1,1
S09756100037,143.28,NaN,7.96,11.94,1,1
S10482200015,143.28,NaN,7.96,11.94,1,1
S10635400030,143.28,NaN,7.96,11.94,1,1
S10884000042,143.28,NaN,7.96,11.94,1,1
S27560400035,142.92,NaN,7.94,11.91,1,1
S05705600090,142.8,NaN,3.97,5.95,1,1
S15486400013,142.8,NaN,3.97,5.95,1,1
S14937000072,142.44,NaN,7.75,11.87,1,1
S16302300118,142.44,NaN,15.83,23.74,1,1
S23045700076,142.38,NaN,15.82,23.73,1,1
S28837400005,141.78,NaN,15.75,23.63,1,
S12534500018,141.72,NaN,7.87,11.81,1,1
S12759900015,141.72,NaN,31.5,47.24,1,1
S17633800030,141.48,NaN,7.86,11.79,1,1
S19348900006,141.12,NaN,7.84,11.76,1,1
S22601700005,141.12,NaN,1.96,2.94,1,1
S15654600016,140.94,NaN,15.66,23.49,1,1
S18549800047,140.88,NaN,7.58,11.74,1,1
S04040300072,140.34,NaN,15.6,23.39,1,1
S03694200017,139.44,NaN,7.41,11.62,1,1
S18303600018,139.32,NaN,7.74,11.61,1,1
S03580800061,138.78,NaN,15.42,23.13,1,1
S05795000010,138.78,NaN,15.42,23.13,1,1
S07982100006,138.78,NaN,15.42,23.13,1,1
S03810900001,138.72,NaN,7.59,11.56,1,1
S03936700002,138.36,NaN,7.69,11.53,1,1
S23881400014,138.12,NaN,7.67,11.51,1,1
S19740800163,138,NaN,15.33,23,1,1
S26110200055,138,NaN,15.33,23,1,1
S11837700006,137.16,NaN,7.62,11.43,1,1
S12128600021,137.16,NaN,7.62,11.43,1,1
S12487400060,137.16,NaN,7.62,11.43,1,1
S12541300092,137.16,NaN,7.62,11.43,1,1
S13401900027,137.16,NaN,7.62,11.43,1,1
S13447700057,137.16,NaN,7.62,11.43,1,1
S15115400008,137.16,NaN,7.62,11.43,1,1
S15492800091,137.16,NaN,7.62,11.43,1,1
S21741800016,137.16,NaN,7.62,11.43,1,1
S21769400014,137.16,NaN,7.62,11.43,1,1
S22660900059,137.16,NaN,7.62,11.43,1,1
S23058800023,137.16,NaN,7.62,11.43,1,1
S23488000056,137.16,NaN,7.62,11.43,1,1
S24878100176,137.16,NaN,7.62,11.43,1,1
S25534500012,137.16,NaN,7.62,11.43,1,1
S25893700018,137.16,NaN,7.62,11.43,1,1
S26638200091,137.16,NaN,7.62,11.43,1,1
S27114500032,137.16,NaN,7.62,11.43,1,1
S27884400013,137.16,NaN,7.62,11.43,1,1
S28007500012,137.16,NaN,7.62,11.43,1,1
S28086400101,137.16,NaN,7.62,11.43,1,1
S14323200018,136.8,NaN,7.6,11.4,1,1
S14677200030,136.8,NaN,7.6,11.4,1,1
S06322300068,136.44,NaN,7.58,11.37,1,1
S09503100052,136.44,NaN,7.58,11.37,1,1
S10681400012,136.44,NaN,7.58,11.37,1,1
S13356500033,136.44,NaN,7.58,11.37,1,1
S16274500009,135.72,NaN,7.54,11.31,1,1
S18341600006,135.72,NaN,7.54,11.31,1,1
S26986800009,135.66,NaN,15.07,22.61,1,1
S03705400033,135.6,NaN,7.53,11.3,1,1
S05017500016,135.6,NaN,7.53,11.3,1,1
S06855800032,135.6,NaN,7.53,11.3,1,1
S07328200009,135.6,NaN,7.53,11.3,1,1
S07630400056,135.6,NaN,7.53,11.3,1,1
S09589400108,135.6,NaN,7.53,11.3,1,1
S09676200024,135.6,NaN,7.53,11.3,1,1
S10619200031,135.6,NaN,7.53,11.3,1,1
S11874400013,135.6,NaN,7.53,11.3,1,1
S14812800022,135.6,NaN,7.53,11.3,1,1
S15089600031,135.6,NaN,7.53,11.3,1,1
S23530700064,135.33,NaN,30.07,45.11,1,1
S06758900008,135,NaN,7.5,11.25,1,1
S13206600042,135,NaN,7.5,11.25,1,1
S15204600022,135,NaN,15,22.5,1,1
S18300000053,135,NaN,15,22.5,1,1
S20083600007,135,NaN,7.25,11.25,1,1
S20088200028,135,NaN,7.25,11.25,1,1
S23895000158,135,NaN,15,22.5,1,1
S25825500014,135,NaN,7.5,11.25,1,1
S26164400020,135,NaN,7.5,11.25,1,1
S26417000134,135,NaN,15,22.5,1,1
S28441300108,135,NaN,15,22.5,1,1
S29107100012,135,NaN,7.5,11.25,1,1
S05892700008,134.94,NaN,14.66,22.49,1,1
S11304800072,134.94,NaN,15,22.49,1,1
S28109200033,134.94,NaN,14.99,22.49,1,1
S09610500088,134.88,NaN,7.5,11.24,1,1
S09885000005,134.88,NaN,7.5,11.24,1,1
S11147800029,134.88,NaN,7.5,11.24,1,1
S12898600020,134.88,NaN,7.5,11.24,1,1
S26163200005,134.88,NaN,7.49,11.24,1,1
S07453700018,134.82,NaN,14.98,22.47,1,1
S05475400047,134.76,NaN,7.49,11.23,1,1
S06833300047,134.76,NaN,7.49,11.23,1,1
S13493500017,134.76,NaN,14.97,22.46,1,1
S26727700024,134.64,NaN,14.96,22.44,1,1
S06961800103,134.58,NaN,14.95,22.43,1,1
S07050700005,134.4,NaN,7.47,11.2,1,1
S15861800077,134.4,NaN,7.47,11.2,1,1
S10451500099,134.36,NaN,22.4,33.59,1,1
S07037300015,134.28,NaN,7.21,11.19,1,1
S08978100028,134.28,NaN,7.21,11.19,1,1
S10091500012,134.28,NaN,7.21,11.19,1,1
S10769600005,134.28,NaN,7.46,11.19,1,1
S18108500034,134.16,NaN,3.73,5.59,1,1
S23439400062,133.74,NaN,29.72,44.58,1,1
S25341200013,133.74,NaN,29.72,44.58,1,1
S07403500001,133.44,NaN,7.41,11.12,1,1
S09154600013,132.84,NaN,7.38,11.07,1,1
S18953600005,132.78,NaN,14.75,22.13,1,1
S20519000002,132.78,NaN,14.75,22.13,1,1
S21409400003,132.78,NaN,14.75,22.13,1,1
S21936900010,132.78,NaN,14.75,22.13,1,1
S24016900001,132.78,NaN,14.75,22.13,1,1
S24975600033,132.78,NaN,14.75,22.13,1,1
S26054300002,132.78,NaN,14.75,22.13,1,1
S28622400010,132.78,NaN,14.75,22.13,1,1
S18458300006,132.72,NaN,14.75,22.12,1,1
S19975300009,132.72,NaN,14.75,22.12,1,1
S03920500010,132.24,NaN,7.35,11.02,1,1
S04127500049,132.24,NaN,7.35,11.02,1,1
S04682300026,132.24,NaN,7.35,11.02,1,1
S06067100070,132.24,NaN,7.35,11.02,1,1
S06113100040,132.24,NaN,7.35,11.02,1,1
S06244600020,132.24,NaN,7.35,11.02,1,1
S06604100007,132.24,NaN,7.35,11.02,1,1
S07309000002,132.24,NaN,7.35,11.02,1,1
S18343600053,132.05,NaN,17.61,26.41,1,1
S03613800042,132,NaN,14.67,22,1,1
S03990800027,132,NaN,14.67,22,1,1
S06616700023,132,NaN,14.67,22,1,1
S07843400003,132,NaN,14.67,22,1,1
S09129500021,132,NaN,14.67,22,1,1
S19940300035,132,NaN,22,33,1,1
S09264000050,131.94,NaN,14.66,21.99,1,1
S10286800018,131.94,NaN,14.66,21.99,1,1
S13536500030,131.94,NaN,14.66,21.99,1,1
S15996500091,131.94,NaN,14.66,21.99,1,1
S19114300065,131.94,NaN,14.66,21.99,1,1
S11601700070,131.88,NaN,6.33,10.99,1,1
